Year,Date,VarAll,ValueAll
VC45,1/1/2020,2KPI,44.9
SHRINKAGE043,1/1/2020,2KPI,0.38
TMMonth180,1/1/2020,2KPI,181.0
PL27,1/1/2020,2KPI,26.8
GAS45,1/1/2020,2KPI,4.5
UnQualified003,1/1/2020,2KPI,0.122
MASH85,1/1/2020,2KPI,7.9
InnoQuarter246,1/1/2020,2KPI,0.0
TLLExpense124,1/1/2020,2KPI,127.0
Manpower3800,1/1/2020,2KPI,3712.0
CAPYear14960K,1/1/2020,2KPI,0.58
VC45,2/1/2020,2KPI,43.8
SHRINKAGE043,2/1/2020,2KPI,0.36
TMMonth180,2/1/2020,2KPI,192.0
PL27,2/1/2020,2KPI,26.6
GAS45,2/1/2020,2KPI,4.6
UnQualified003,2/1/2020,2KPI,0.01
MASH85,2/1/2020,2KPI,7.9
InnoQuarter246,2/1/2020,2KPI,0.0
TLLExpense124,2/1/2020,2KPI,115.0
Manpower3800,2/1/2020,2KPI,3692.0
CAPYear14960K,2/1/2020,2KPI,0.65
VC45,3/1/2020,2KPI,42.9
SHRINKAGE043,3/1/2020,2KPI,0.36
TMMonth180,3/1/2020,2KPI,196.0
PL27,3/1/2020,2KPI,26.3
GAS45,3/1/2020,2KPI,4.6
UnQualified003,3/1/2020,2KPI,0.01
MASH85,3/1/2020,2KPI,7.9
InnoQuarter246,3/1/2020,2KPI,328.0
TLLExpense124,3/1/2020,2KPI,116.0
Manpower3800,3/1/2020,2KPI,3722.0
CAPYear14960K,3/1/2020,2KPI,0.62
VC45,4/1/2020,2KPI,42.7
SHRINKAGE043,4/1/2020,2KPI,0.42
TMMonth180,4/1/2020,2KPI,201.0
PL27,4/1/2020,2KPI,18.9
GAS45,4/1/2020,2KPI,4.6
UnQualified003,4/1/2020,2KPI,0.01
MASH85,4/1/2020,2KPI,7.9
InnoQuarter246,4/1/2020,2KPI,0.0
TLLExpense124,4/1/2020,2KPI,118.0
Manpower3800,4/1/2020,2KPI,3748.0
CAPYear14960K,4/1/2020,2KPI,0.63
VC45,5/1/2020,2KPI,42.3
SHRINKAGE043,5/1/2020,2KPI,0.36
TMMonth180,5/1/2020,2KPI,202.0
PL27,5/1/2020,2KPI,26.3
GAS45,5/1/2020,2KPI,4.5
UnQualified003,5/1/2020,2KPI,0.002
MASH85,5/1/2020,2KPI,7.9
InnoQuarter246,5/1/2020,2KPI,0.0
TLLExpense124,5/1/2020,2KPI,119.0
Manpower3800,5/1/2020,2KPI,3756.0
CAPYear14960K,5/1/2020,2KPI,0.62
VC45,6/1/2020,2KPI,42.1
SHRINKAGE043,6/1/2020,2KPI,0.44
TMMonth180,6/1/2020,2KPI,202.0
PL27,6/1/2020,2KPI,26.3
GAS45,6/1/2020,2KPI,4.4
UnQualified003,6/1/2020,2KPI,0.01
MASH85,6/1/2020,2KPI,8.0
InnoQuarter246,6/1/2020,2KPI,690.0
TLLExpense124,6/1/2020,2KPI,119.0
Manpower3800,6/1/2020,2KPI,3760.0
