Year,Date,VarAll,ValueAll
2005,1/1/2020,3Cap,0.0
2006,1/1/2020,3Cap,0.0
2007,1/1/2020,3Cap,0.0
2008,1/1/2020,3Cap,0.0
2009,1/1/2020,3Cap,0.0
2010,1/1/2020,3Cap,80.25
2011,1/1/2020,3Cap,81.58333333333333
2012,1/1/2020,3Cap,88.33333333333333
2013,1/1/2020,3Cap,88.33333333333333
2014,1/1/2020,3Cap,101.08333333333333
2015,1/1/2020,3Cap,108.33333333333333
2016,1/1/2020,3Cap,111.5
2017,1/1/2020,3Cap,119.16666666666667
2018,1/1/2020,3Cap,117.0
2019,1/1/2020,3Cap,125.16666666666667
2020,1/1/2020,3Cap,125.25
2005,2/1/2020,3Cap,0.0
2006,2/1/2020,3Cap,0.0
2007,2/1/2020,3Cap,0.0
2008,2/1/2020,3Cap,0.0
2009,2/1/2020,3Cap,0.0
2010,2/1/2020,3Cap,80.25
2011,2/1/2020,3Cap,81.58333333333333
2012,2/1/2020,3Cap,88.33333333333333
2013,2/1/2020,3Cap,88.33333333333333
2014,2/1/2020,3Cap,101.08333333333333
2015,2/1/2020,3Cap,108.33333333333333
2016,2/1/2020,3Cap,111.5
2017,2/1/2020,3Cap,119.16666666666667
2018,2/1/2020,3Cap,117.0
2019,2/1/2020,3Cap,125.16666666666667
2020,2/1/2020,3Cap,125.25
2005,3/1/2020,3Cap,0.0
2006,3/1/2020,3Cap,0.0
2007,3/1/2020,3Cap,0.0
2008,3/1/2020,3Cap,0.0
2009,3/1/2020,3Cap,0.0
2010,3/1/2020,3Cap,80.25
2011,3/1/2020,3Cap,81.58333333333333
2012,3/1/2020,3Cap,88.33333333333333
2013,3/1/2020,3Cap,88.33333333333333
2014,3/1/2020,3Cap,101.08333333333333
2015,3/1/2020,3Cap,108.33333333333333
2016,3/1/2020,3Cap,111.5
2017,3/1/2020,3Cap,119.16666666666667
2018,3/1/2020,3Cap,117.0
2019,3/1/2020,3Cap,125.16666666666667
2020,3/1/2020,3Cap,125.25
2005,4/1/2020,3Cap,0.0
2006,4/1/2020,3Cap,0.0
2007,4/1/2020,3Cap,0.0
2008,4/1/2020,3Cap,0.0
2009,4/1/2020,3Cap,0.0
2010,4/1/2020,3Cap,80.25
2011,4/1/2020,3Cap,81.58333333333333
2012,4/1/2020,3Cap,88.33333333333333
2013,4/1/2020,3Cap,88.33333333333333
2014,4/1/2020,3Cap,101.08333333333333
2015,4/1/2020,3Cap,108.33333333333333
2016,4/1/2020,3Cap,111.5
2017,4/1/2020,3Cap,119.16666666666667
2018,4/1/2020,3Cap,117.0
2019,4/1/2020,3Cap,125.16666666666667
2020,4/1/2020,3Cap,125.25
2005,5/1/2020,3Cap,0.0
2006,5/1/2020,3Cap,0.0
2007,5/1/2020,3Cap,0.0
2008,5/1/2020,3Cap,0.0
2009,5/1/2020,3Cap,0.0
2010,5/1/2020,3Cap,80.25
2011,5/1/2020,3Cap,81.58333333333333
2012,5/1/2020,3Cap,88.33333333333333
2013,5/1/2020,3Cap,88.33333333333333
2014,5/1/2020,3Cap,101.08333333333333
2015,5/1/2020,3Cap,108.33333333333333
2016,5/1/2020,3Cap,111.5
2017,5/1/2020,3Cap,119.16666666666667
2018,5/1/2020,3Cap,117.0
2019,5/1/2020,3Cap,125.16666666666667
2020,5/1/2020,3Cap,125.25
2005,6/1/2020,3Cap,0.0
2006,6/1/2020,3Cap,0.0
2007,6/1/2020,3Cap,0.0
2008,6/1/2020,3Cap,0.0
2009,6/1/2020,3Cap,0.0
2010,6/1/2020,3Cap,80.25
2011,6/1/2020,3Cap,81.58333333333333
2012,6/1/2020,3Cap,88.33333333333333
2013,6/1/2020,3Cap,88.33333333333333
2014,6/1/2020,3Cap,101.08333333333333
2015,6/1/2020,3Cap,108.33333333333333
2016,6/1/2020,3Cap,111.5
2017,6/1/2020,3Cap,119.16666666666667
2018,6/1/2020,3Cap,117.0
2019,6/1/2020,3Cap,125.16666666666667
2020,6/1/2020,3Cap,125.25
2005,7/1/2020,3Cap,0.0
2006,7/1/2020,3Cap,0.0
2007,7/1/2020,3Cap,0.0
2008,7/1/2020,3Cap,0.0
2009,7/1/2020,3Cap,0.0
2010,7/1/2020,3Cap,80.25
2011,7/1/2020,3Cap,81.58333333333333
2012,7/1/2020,3Cap,88.33333333333333
2013,7/1/2020,3Cap,88.33333333333333
2014,7/1/2020,3Cap,101.08333333333333
2015,7/1/2020,3Cap,108.33333333333333
2016,7/1/2020,3Cap,111.5
2017,7/1/2020,3Cap,119.16666666666667
2018,7/1/2020,3Cap,117.0
2019,7/1/2020,3Cap,125.16666666666667
2020,7/1/2020,3Cap,125.25
2005,8/1/2020,3Cap,0.0
2006,8/1/2020,3Cap,0.0
2007,8/1/2020,3Cap,0.0
2008,8/1/2020,3Cap,0.0
2009,8/1/2020,3Cap,0.0
2010,8/1/2020,3Cap,80.25
2011,8/1/2020,3Cap,81.58333333333333
2012,8/1/2020,3Cap,88.33333333333333
2013,8/1/2020,3Cap,88.33333333333333
2014,8/1/2020,3Cap,101.08333333333333
2015,8/1/2020,3Cap,108.33333333333333
2016,8/1/2020,3Cap,111.5
2017,8/1/2020,3Cap,119.16666666666667
2018,8/1/2020,3Cap,117.0
2019,8/1/2020,3Cap,125.16666666666667
2020,8/1/2020,3Cap,125.25
2005,9/1/2020,3Cap,0.0
2006,9/1/2020,3Cap,0.0
2007,9/1/2020,3Cap,0.0
2008,9/1/2020,3Cap,0.0
2009,9/1/2020,3Cap,0.0
2010,9/1/2020,3Cap,80.25
2011,9/1/2020,3Cap,81.58333333333333
2012,9/1/2020,3Cap,88.33333333333333
2013,9/1/2020,3Cap,88.33333333333333
2014,9/1/2020,3Cap,101.08333333333333
2015,9/1/2020,3Cap,108.33333333333333
2016,9/1/2020,3Cap,111.5
2017,9/1/2020,3Cap,119.16666666666667
2018,9/1/2020,3Cap,117.0
2019,9/1/2020,3Cap,125.16666666666667
2020,9/1/2020,3Cap,125.25
2005,10/1/2020,3Cap,0.0
2006,10/1/2020,3Cap,0.0
2007,10/1/2020,3Cap,0.0
2008,10/1/2020,3Cap,0.0
2009,10/1/2020,3Cap,0.0
2010,10/1/2020,3Cap,80.25
2011,10/1/2020,3Cap,81.58333333333333
2012,10/1/2020,3Cap,88.33333333333333
2013,10/1/2020,3Cap,88.33333333333333
2014,10/1/2020,3Cap,101.08333333333333
2015,10/1/2020,3Cap,108.33333333333333
2016,10/1/2020,3Cap,111.5
2017,10/1/2020,3Cap,119.16666666666667
2018,10/1/2020,3Cap,117.0
2019,10/1/2020,3Cap,125.16666666666667
2020,10/1/2020,3Cap,125.25
2005,11/1/2020,3Cap,0.0
2006,11/1/2020,3Cap,0.0
2007,11/1/2020,3Cap,0.0
2008,11/1/2020,3Cap,0.0
2009,11/1/2020,3Cap,0.0
2010,11/1/2020,3Cap,80.25
2011,11/1/2020,3Cap,81.58333333333333
2012,11/1/2020,3Cap,88.33333333333333
2013,11/1/2020,3Cap,88.33333333333333
2014,11/1/2020,3Cap,101.08333333333333
2015,11/1/2020,3Cap,108.33333333333333
2016,11/1/2020,3Cap,111.5
2017,11/1/2020,3Cap,119.16666666666667
2018,11/1/2020,3Cap,117.0
2019,11/1/2020,3Cap,125.16666666666667
2020,11/1/2020,3Cap,125.25
2005,12/1/2020,3Cap,0.0
2006,12/1/2020,3Cap,0.0
2007,12/1/2020,3Cap,0.0
2008,12/1/2020,3Cap,0.0
2009,12/1/2020,3Cap,0.0
2010,12/1/2020,3Cap,80.25
2011,12/1/2020,3Cap,81.58333333333333
2012,12/1/2020,3Cap,88.33333333333333
2013,12/1/2020,3Cap,88.33333333333333
2014,12/1/2020,3Cap,101.08333333333333
2015,12/1/2020,3Cap,108.33333333333333
2016,12/1/2020,3Cap,111.5
2017,12/1/2020,3Cap,119.16666666666667
2018,12/1/2020,3Cap,117.0
2019,12/1/2020,3Cap,125.16666666666667
2020,12/1/2020,3Cap,125.25
2005,1/1/2020,3Actual,419.17593900000014
2006,1/1/2020,3Actual,393.4467001400001
2007,1/1/2020,3Actual,388.2628814399999
2008,1/1/2020,3Actual,424.39500394000015
2009,1/1/2020,3Actual,389.48189419000016
2010,1/1/2020,3Actual,452.0268288699998
2011,1/1/2020,3Actual,456.1430203
2012,1/1/2020,3Actual,480.2722205
2013,1/1/2020,3Actual,564.929554
2014,1/1/2020,3Actual,555.2390460000001
2015,1/1/2020,3Actual,508.979
2016,1/1/2020,3Actual,526.246
2017,1/1/2020,3Actual,589.459
2018,1/1/2020,3Actual,684.304
2019,1/1/2020,3Actual,731.612
2020,1/1/2020,3Actual,672.0677640299999
2005,2/1/2020,3Actual,310.04509599999983
2006,2/1/2020,3Actual,363.028993
