Area,Company,Date,VarAll,ValueAll
一条龙 YU JIAN PING,0438青岛农业-城阳,2020-01-01,Actual2021,13382.0
一条龙 YU JIAN PING,0846湛江饲料,2020-01-01,Actual2021,7012.94
一条龙 YU JIAN PING,0175衡水正大,2020-01-01,Actual2021,6050.75
一条龙 YU JIAN PING,0589湖北正大,2020-01-01,Actual2021,13470.64
北方区 BAI SHAN LIN,0212吉林实业(饲料),2020-01-01,Actual2021,12260.9
北方区 BAI SHAN LIN,0213正大永吉,2020-01-01,Actual2021,14864.4
北方区 BAI SHAN LIN,0203沈阳正大,2020-01-01,Actual2021,13178.65
北方区 BAI SHAN LIN,0204葫芦岛正大,2020-01-01,Actual2021,3931.744
北方区 BAI SHAN LIN,0302山西正大,2020-01-01,Actual2021,9000.78
北方区 BAI SHAN LIN,0303陕西正大,2020-01-01,Actual2021,11730.09
北方区 BAI SHAN LIN,0305内蒙古正大,2020-01-01,Actual2021,24203.21
北方区 BAI SHAN LIN,0323内蒙-五原,2020-01-01,Actual2021,8700.0
北方区 BAI SHAN LIN,0170张家口正大,2020-01-01,Actual2021,2731.614
北方区 BAI SHAN LIN,0301兰州正大,2020-01-01,Actual2021,23003.31
北方区 BAI SHAN LIN,0304乌鲁木齐正大,2020-01-01,Actual2021,18166.75
北方区 BAI SHAN LIN,0306银川正大,2020-01-01,Actual2021,7546.0
北方区 BAI SHAN LIN,0322兰州正大-泾川,2020-01-01,Actual2021,8823.44
北方区 BAI SHAN LIN,3204乌鲁木齐正大-阿克苏,2020-01-01,Actual2021,5681.7
北方区 BAI SHAN LIN,0329兰州正大-张掖分公司,2020-01-01,Actual2021,7992.22
北方区 BAI SHAN LIN,0318渭南正大,2020-01-01,Actual2021,2062.43
中东南区 HUO ER FENG,0403合肥正大,2020-01-01,Actual2021,21584.04
中东南区 HUO ER FENG,0406滁州正大,2020-01-01,Actual2021,4565.79
中东南区 HUO ER FENG,0502开封正大,2020-01-01,Actual2021,11897.59
中东南区 HUO ER FENG,0506驻马店正大,2020-01-01,Actual2021,5710.82
中东南区 HUO ER FENG,0510河南东方,2020-01-01,Actual2021,28011.14
中东南区 HUO ER FENG,0511平顶山正大,2020-01-01,Actual2021,13000.0
中东南区 HUO ER FENG,0560周口正大,2020-01-01,Actual2021,3645.62
中东南区 HUO ER FENG,0518南阳正大,2020-01-01,Actual2021,20387.0
中东南区 HUO ER FENG,0702宁波正大,2020-01-01,Actual2021,10299.558
中东南区 HUO ER FENG,0804福州大福(饲料),2020-01-01,Actual2021,11629.69
中东南区 HUO ER FENG,0805厦门正大(饲料),2020-01-01,Actual2021,6078.15
中东南区 HUO ER FENG,0862海南农牧,2020-01-01,Actual2021,4689.37
中南区 ZHOU YONG SHUN,0504武汉正大(饲料),2020-01-01,Actual2021,33336.7
中南区 ZHOU YONG SHUN,0569武汉水产,2020-01-01,Actual2021,4649.36
中南区 ZHOU YONG SHUN,1513武汉正大仙桃分公司,2020-01-01,Actual2021,2638.56
中南区 ZHOU YONG SHUN,0514襄阳正大,2020-01-01,Actual2021,37608.36
中南区 ZHOU YONG SHUN,1516襄阳正大宜城分公司,2020-01-01,Actual2021,11102.2
中南区 ZHOU YONG SHUN,0505宜昌正大,2020-01-01,Actual2021,24300.71
中南区 ZHOU YONG SHUN,0572潜江正大,2020-01-01,Actual2021,8448.08
中南区 ZHOU YONG SHUN,0507怀化正大,2020-01-01,Actual2021,19941.99
中南区 ZHOU YONG SHUN,0501正大岳阳(饲料),2020-01-01,Actual2021,10752.258
中南区 ZHOU YONG SHUN,0515长沙正大,2020-01-01,Actual2021,10822.11
中南区 ZHOU YONG SHUN,1504长沙正大有限公司益阳水产分公司,2020-01-01,Actual2021,266.74
中南区 ZHOU YONG SHUN,1515衡阳饲料,2020-01-01,Actual2021,16596.29
中南区 ZHOU YONG SHUN,0802南昌正大,2020-01-01,Actual2021,6184.649
中南区 ZHOU YONG SHUN,0803九江正大,2020-01-01,Actual2021,12937.43
中南区 ZHOU YONG SHUN,0604南宁正大,2020-01-01,Actual2021,4166.96
中南区 ZHOU YONG SHUN,0661武宣正大,2020-01-01,Actual2021,10330.34
中南区 ZHOU YONG SHUN,0613桂林正大,2020-01-01,Actual2021,8731.24
中南区 ZHOU YONG SHUN,0821阳江正大,2020-01-01,Actual2021,791.195
中南区 ZHOU YONG SHUN,0619卜蜂水产（北海）,2020-01-01,Actual2021,435.33
西南区 BAI YU FEI,0601成都正大,2020-01-01,Actual2021,30938.49
西南区 BAI YU FEI,0603昆明正大,2020-01-01,Actual2021,13687.23
西南区 BAI YU FEI,0659大理正大,2020-01-01,Actual2021,9255.36
西南区 BAI YU FEI,0605内江正大,2020-01-01,Actual2021,17237.48
西南区 BAI YU FEI,0607双流正大,2020-01-01,Actual2021,913.25
西南区 BAI YU FEI,0602重庆正大,2020-01-01,Actual2021,22029.49
西南区 BAI YU FEI,0609双桥正大,2020-01-01,Actual2021,14280.76
西南区 BAI YU FEI,0621贵阳正大,2020-01-01,Actual2021,16207.53
西南区 BAI YU FEI,0616广安正大,2020-01-01,Actual2021,12451.33
京津冀区 LI QING HE,0107石家庄正大,2020-01-01,Actual2021,8563.46
京津冀区 LI QING HE,0110邯郸正大,2020-01-01,Actual2021,4703.46
京津冀区 LI QING HE,0114天津农牧,2020-01-01,Actual2021,14461.355
山东江苏区 JIANG BO,0424青岛农业,2020-01-01,Actual2021,20385.83
山东江苏区 JIANG BO,0405徐州正大,2020-01-01,Actual2021,10357.85
山东江苏区 JIANG BO,0407连云港正大,2020-01-01,Actual2021,19648.14
山东江苏区 JIANG BO,0408南通正大,2020-01-01,Actual2021,23077.075
山东江苏区 JIANG BO,0410泰州正大,2020-01-01,Actual2021,11177.263
山东江苏区 JIANG BO,0412淮阴正大,2020-01-01,Actual2021,4843.075
一条龙 YU JIAN PING,0438青岛农业-城阳,2020-02-01,Actual2021,0.0
一条龙 YU JIAN PING,0846湛江饲料,2020-02-01,Actual2021,0.0
一条龙 YU JIAN PING,0175衡水正大,2020-02-01,Actual2021,0.0
一条龙 YU JIAN PING,0589湖北正大,2020-02-01,Actual2021,0.0
北方区 BAI SHAN LIN,0212吉林实业(饲料),2020-02-01,Actual2021,0.0
北方区 BAI SHAN LIN,0213正大永吉,2020-02-01,Actual2021,0.0
北方区 BAI SHAN LIN,0203沈阳正大,2020-02-01,Actual2021,0.0
北方区 BAI SHAN LIN,0204葫芦岛正大,2020-02-01,Actual2021,0.0
北方区 BAI SHAN LIN,0302山西正大,2020-02-01,Actual2021,0.0
北方区 BAI SHAN LIN,0303陕西正大,2020-02-01,Actual2021,0.0
北方区 BAI SHAN LIN,0305内蒙古正大,2020-02-01,Actual2021,0.0
北方区 BAI SHAN LIN,0323内蒙-五原,2020-02-01,Actual2021,0.0
北方区 BAI SHAN LIN,0170张家口正大,2020-02-01,Actual2021,0.0
北方区 BAI SHAN LIN,0301兰州正大,2020-02-01,Actual2021,0.0
北方区 BAI SHAN LIN,0304乌鲁木齐正大,2020-02-01,Actual2021,0.0
北方区 BAI SHAN LIN,0306银川正大,2020-02-01,Actual2021,0.0
北方区 BAI SHAN LIN,0322兰州正大-泾川,2020-02-01,Actual2021,0.0
北方区 BAI SHAN LIN,3204乌鲁木齐正大-阿克苏,2020-02-01,Actual2021,0.0
北方区 BAI SHAN LIN,0329兰州正大-张掖分公司,2020-02-01,Actual2021,0.0
北方区 BAI SHAN LIN,0318渭南正大,2020-02-01,Actual2021,0.0
中东南区 HUO ER FENG,0403合肥正大,2020-02-01,Actual2021,0.0
中东南区 HUO ER FENG,0406滁州正大,2020-02-01,Actual2021,0.0
中东南区 HUO ER FENG,0502开封正大,2020-02-01,Actual2021,0.0
中东南区 HUO ER FENG,0506驻马店正大,2020-02-01,Actual2021,0.0
中东南区 HUO ER FENG,0510河南东方,2020-02-01,Actual2021,0.0
中东南区 HUO ER FENG,0511平顶山正大,2020-02-01,Actual2021,0.0
中东南区 HUO ER FENG,0560周口正大,2020-02-01,Actual2021,0.0
中东南区 HUO ER FENG,0518南阳正大,2020-02-01,Actual2021,0.0
中东南区 HUO ER FENG,0702宁波正大,2020-02-01,Actual2021,0.0
中东南区 HUO ER FENG,0804福州大福(饲料),2020-02-01,Actual2021,0.0
中东南区 HUO ER FENG,0805厦门正大(饲料),2020-02-01,Actual2021,0.0
中东南区 HUO ER FENG,0862海南农牧,2020-02-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0504武汉正大(饲料),2020-02-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0569武汉水产,2020-02-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,1513武汉正大仙桃分公司,2020-02-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0514襄阳正大,2020-02-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,1516襄阳正大宜城分公司,2020-02-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0505宜昌正大,2020-02-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0572潜江正大,2020-02-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0507怀化正大,2020-02-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0501正大岳阳(饲料),2020-02-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0515长沙正大,2020-02-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,1504长沙正大有限公司益阳水产分公司,2020-02-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,1515衡阳饲料,2020-02-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0802南昌正大,2020-02-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0803九江正大,2020-02-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0604南宁正大,2020-02-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0661武宣正大,2020-02-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0613桂林正大,2020-02-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0821阳江正大,2020-02-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0619卜蜂水产（北海）,2020-02-01,Actual2021,0.0
西南区 BAI YU FEI,0601成都正大,2020-02-01,Actual2021,0.0
