Area,Company,Date,VarAll,ValueAll
一条龙 YU JIAN PING,0438青岛农业-城阳,2020-01-01,1总产量颗粒料产量,9417.9
一条龙 YU JIAN PING,1412青岛科德饲料,2020-01-01,1总产量颗粒料产量,4350.76
一条龙 YU JIAN PING,0846湛江饲料,2020-01-01,1总产量颗粒料产量,5574.48
一条龙 YU JIAN PING,0175衡水正大,2020-01-01,1总产量颗粒料产量,1990.4
一条龙 YU JIAN PING,0589湖北正大,2020-01-01,1总产量颗粒料产量,13878.16
北方区 BAI SHAN LIN,0212吉林实业(饲料),2020-01-01,1总产量颗粒料产量,5606.7
北方区 BAI SHAN LIN,0213正大永吉,2020-01-01,1总产量颗粒料产量,6655.06
北方区 BAI SHAN LIN,0203沈阳正大,2020-01-01,1总产量颗粒料产量,7235.18
北方区 BAI SHAN LIN,0204葫芦岛正大,2020-01-01,1总产量颗粒料产量,2267.73
北方区 BAI SHAN LIN,0302山西正大,2020-01-01,1总产量颗粒料产量,5210.279
北方区 BAI SHAN LIN,0303陕西正大,2020-01-01,1总产量颗粒料产量,9135.1
北方区 BAI SHAN LIN,0305内蒙古正大,2020-01-01,1总产量颗粒料产量,13048.08
北方区 BAI SHAN LIN,0323内蒙-五原,2020-01-01,1总产量颗粒料产量,3496.59
北方区 BAI SHAN LIN,0170张家口正大,2020-01-01,1总产量颗粒料产量,2307.807
北方区 BAI SHAN LIN,0301兰州正大,2020-01-01,1总产量颗粒料产量,15145.589
北方区 BAI SHAN LIN,0304乌鲁木齐正大,2020-01-01,1总产量颗粒料产量,13850.44
北方区 BAI SHAN LIN,0306银川正大,2020-01-01,1总产量颗粒料产量,5175.76
北方区 BAI SHAN LIN,0322兰州正大-泾川,2020-01-01,1总产量颗粒料产量,3964.98
北方区 BAI SHAN LIN,3204乌鲁木齐正大-阿克苏,2020-01-01,1总产量颗粒料产量,4738.63
北方区 BAI SHAN LIN,0329兰州正大-张掖分公司,2020-01-01,1总产量颗粒料产量,6280.64
北方区 BAI SHAN LIN,0318渭南正大,2020-01-01,1总产量颗粒料产量,2019.764
中东南区 HUO ER FENG,0403合肥正大,2020-01-01,1总产量颗粒料产量,8604.52
中东南区 HUO ER FENG,0406滁州正大,2020-01-01,1总产量颗粒料产量,3163.97
中东南区 HUO ER FENG,0502开封正大,2020-01-01,1总产量颗粒料产量,7127.26
中东南区 HUO ER FENG,0506驻马店正大,2020-01-01,1总产量颗粒料产量,4368.34
中东南区 HUO ER FENG,0510河南东方,2020-01-01,1总产量颗粒料产量,15442.22
中东南区 HUO ER FENG,0511平顶山正大,2020-01-01,1总产量颗粒料产量,5764.34
中东南区 HUO ER FENG,0560周口正大,2020-01-01,1总产量颗粒料产量,2207.34
中东南区 HUO ER FENG,0518南阳正大,2020-01-01,1总产量颗粒料产量,12959.32
中东南区 HUO ER FENG,0702宁波正大,2020-01-01,1总产量颗粒料产量,9086.02
中东南区 HUO ER FENG,0804福州大福(饲料),2020-01-01,1总产量颗粒料产量,8418.705
中东南区 HUO ER FENG,0805厦门正大(饲料),2020-01-01,1总产量颗粒料产量,4570.73
中东南区 HUO ER FENG,0862海南农牧,2020-01-01,1总产量颗粒料产量,3922.56
中南区 ZHOU YONG SHUN,0504武汉正大(饲料),2020-01-01,1总产量颗粒料产量,18637.6
中南区 ZHOU YONG SHUN,0569武汉水产,2020-01-01,1总产量颗粒料产量,2619.74
中南区 ZHOU YONG SHUN,1513武汉正大仙桃分公司,2020-01-01,1总产量颗粒料产量,1635.4
中南区 ZHOU YONG SHUN,0514襄阳正大,2020-01-01,1总产量颗粒料产量,27996.08
中南区 ZHOU YONG SHUN,1516襄阳正大宜城分公司,2020-01-01,1总产量颗粒料产量,6840.76
中南区 ZHOU YONG SHUN,0505宜昌正大,2020-01-01,1总产量颗粒料产量,12650.72
中南区 ZHOU YONG SHUN,0572潜江正大,2020-01-01,1总产量颗粒料产量,7163.72
中南区 ZHOU YONG SHUN,0507怀化正大,2020-01-01,1总产量颗粒料产量,18658.38
中南区 ZHOU YONG SHUN,0501正大岳阳(饲料),2020-01-01,1总产量颗粒料产量,9320.952
中南区 ZHOU YONG SHUN,0515长沙正大,2020-01-01,1总产量颗粒料产量,0.0
中南区 ZHOU YONG SHUN,1504长沙正大有限公司益阳水产分公司,2020-01-01,1总产量颗粒料产量,485.82
中南区 ZHOU YONG SHUN,1515衡阳饲料,2020-01-01,1总产量颗粒料产量,10861.52
中南区 ZHOU YONG SHUN,0802南昌正大,2020-01-01,1总产量颗粒料产量,4960.7
中南区 ZHOU YONG SHUN,0803九江正大,2020-01-01,1总产量颗粒料产量,5438.31
中南区 ZHOU YONG SHUN,0604南宁正大,2020-01-01,1总产量颗粒料产量,10660.72
中南区 ZHOU YONG SHUN,0661武宣正大,2020-01-01,1总产量颗粒料产量,4333.46
中南区 ZHOU YONG SHUN,0613桂林正大,2020-01-01,1总产量颗粒料产量,5764.18
中南区 ZHOU YONG SHUN,0821阳江正大,2020-01-01,1总产量颗粒料产量,739.5
中南区 ZHOU YONG SHUN,0619卜蜂水产（北海）,2020-01-01,1总产量颗粒料产量,615.58
西南区 BAI YU FEI,0601成都正大,2020-01-01,1总产量颗粒料产量,17398.435
西南区 BAI YU FEI,0603昆明正大,2020-01-01,1总产量颗粒料产量,9397.755
西南区 BAI YU FEI,0659大理正大,2020-01-01,1总产量颗粒料产量,6303.5
西南区 BAI YU FEI,0605内江正大,2020-01-01,1总产量颗粒料产量,12074.66
西南区 BAI YU FEI,0607双流正大,2020-01-01,1总产量颗粒料产量,1526.87
西南区 BAI YU FEI,0612绵阳正大,2020-01-01,1总产量颗粒料产量,18017.09
西南区 BAI YU FEI,0602重庆正大,2020-01-01,1总产量颗粒料产量,12685.72
西南区 BAI YU FEI,0609双桥正大,2020-01-01,1总产量颗粒料产量,11165.94
西南区 BAI YU FEI,0621贵阳正大,2020-01-01,1总产量颗粒料产量,10410.42
西南区 BAI YU FEI,0616广安正大,2020-01-01,1总产量颗粒料产量,8057.16
京津冀区 LI QING HE,0107石家庄正大,2020-01-01,1总产量颗粒料产量,6277.895
京津冀区 LI QING HE,0110邯郸正大,2020-01-01,1总产量颗粒料产量,2247.35
京津冀区 LI QING HE,0114天津农牧,2020-01-01,1总产量颗粒料产量,9757.13
山东江苏区 JIANG BO,0424青岛农业,2020-01-01,1总产量颗粒料产量,10269.92
山东江苏区 JIANG BO,0405徐州正大,2020-01-01,1总产量颗粒料产量,4076.69
山东江苏区 JIANG BO,0407连云港正大,2020-01-01,1总产量颗粒料产量,7833.01
山东江苏区 JIANG BO,0408南通正大,2020-01-01,1总产量颗粒料产量,14908.64
山东江苏区 JIANG BO,0410泰州正大,2020-01-01,1总产量颗粒料产量,75.24
山东江苏区 JIANG BO,0412淮阴正大,2020-01-01,1总产量颗粒料产量,17085.631
一条龙 YU JIAN PING,0438青岛农业-城阳,2020-02-01,1总产量颗粒料产量,15618.87
一条龙 YU JIAN PING,1412青岛科德饲料,2020-02-01,1总产量颗粒料产量,3175.32
一条龙 YU JIAN PING,0846湛江饲料,2020-02-01,1总产量颗粒料产量,5333.72
一条龙 YU JIAN PING,0175衡水正大,2020-02-01,1总产量颗粒料产量,1019.102
一条龙 YU JIAN PING,0589湖北正大,2020-02-01,1总产量颗粒料产量,21741.69
北方区 BAI SHAN LIN,0212吉林实业(饲料),2020-02-01,1总产量颗粒料产量,5241.31
北方区 BAI SHAN LIN,0213正大永吉,2020-02-01,1总产量颗粒料产量,6506.83
北方区 BAI SHAN LIN,0203沈阳正大,2020-02-01,1总产量颗粒料产量,8247.82
北方区 BAI SHAN LIN,0204葫芦岛正大,2020-02-01,1总产量颗粒料产量,2368.11
北方区 BAI SHAN LIN,0302山西正大,2020-02-01,1总产量颗粒料产量,6000.97
北方区 BAI SHAN LIN,0303陕西正大,2020-02-01,1总产量颗粒料产量,8140.52
北方区 BAI SHAN LIN,0305内蒙古正大,2020-02-01,1总产量颗粒料产量,18879.85
北方区 BAI SHAN LIN,0323内蒙-五原,2020-02-01,1总产量颗粒料产量,3008.14
北方区 BAI SHAN LIN,0170张家口正大,2020-02-01,1总产量颗粒料产量,3293.474
北方区 BAI SHAN LIN,0301兰州正大,2020-02-01,1总产量颗粒料产量,16164.46
北方区 BAI SHAN LIN,0304乌鲁木齐正大,2020-02-01,1总产量颗粒料产量,14483.28
北方区 BAI SHAN LIN,0306银川正大,2020-02-01,1总产量颗粒料产量,4737.6
北方区 BAI SHAN LIN,0322兰州正大-泾川,2020-02-01,1总产量颗粒料产量,5308.0
北方区 BAI SHAN LIN,3204乌鲁木齐正大-阿克苏,2020-02-01,1总产量颗粒料产量,5099.06
北方区 BAI SHAN LIN,0329兰州正大-张掖分公司,2020-02-01,1总产量颗粒料产量,5489.5
北方区 BAI SHAN LIN,0318渭南正大,2020-02-01,1总产量颗粒料产量,1787.03
中东南区 HUO ER FENG,0403合肥正大,2020-02-01,1总产量颗粒料产量,9442.66
中东南区 HUO ER FENG,0406滁州正大,2020-02-01,1总产量颗粒料产量,4120.68
中东南区 HUO ER FENG,0502开封正大,2020-02-01,1总产量颗粒料产量,8285.17
中东南区 HUO ER FENG,0506驻马店正大,2020-02-01,1总产量颗粒料产量,5226.89
中东南区 HUO ER FENG,0510河南东方,2020-02-01,1总产量颗粒料产量,16499.24
中东南区 HUO ER FENG,0511平顶山正大,2020-02-01,1总产量颗粒料产量,5113.46
中东南区 HUO ER FENG,0560周口正大,2020-02-01,1总产量颗粒料产量,2785.66
中东南区 HUO ER FENG,0518南阳正大,2020-02-01,1总产量颗粒料产量,14240.35
中东南区 HUO ER FENG,0702宁波正大,2020-02-01,1总产量颗粒料产量,9881.442
中东南区 HUO ER FENG,0804福州大福(饲料),2020-02-01,1总产量颗粒料产量,8047.2
中东南区 HUO ER FENG,0805厦门正大(饲料),2020-02-01,1总产量颗粒料产量,4072.04
中东南区 HUO ER FENG,0862海南农牧,2020-02-01,1总产量颗粒料产量,4321.5
中南区 ZHOU YONG SHUN,0504武汉正大(饲料),2020-02-01,1总产量颗粒料产量,22539.78
中南区 ZHOU YONG SHUN,0569武汉水产,2020-02-01,1总产量颗粒料产量,268.56
中南区 ZHOU YONG SHUN,1513武汉正大仙桃分公司,2020-02-01,1总产量颗粒料产量,78.32
中南区 ZHOU YONG SHUN,0514襄阳正大,2020-02-01,1总产量颗粒料产量,32016.38
中南区 ZHOU YONG SHUN,1516襄阳正大宜城分公司,2020-02-01,1总产量颗粒料产量,9803.4
中南区 ZHOU YONG SHUN,0505宜昌正大,2020-02-01,1总产量颗粒料产量,17088.53
中南区 ZHOU YONG SHUN,0572潜江正大,2020-02-01,1总产量颗粒料产量,11713.26
中南区 ZHOU YONG SHUN,0507怀化正大,2020-02-01,1总产量颗粒料产量,15788.023
中南区 ZHOU YONG SHUN,0501正大岳阳(饲料),2020-02-01,1总产量颗粒料产量,10077.002
中南区 ZHOU YONG SHUN,0515长沙正大,2020-02-01,1总产量颗粒料产量,0.0
中南区 ZHOU YONG SHUN,1504长沙正大有限公司益阳水产分公司,2020-02-01,1总产量颗粒料产量,909.555
中南区 ZHOU YONG SHUN,1515衡阳饲料,2020-02-01,1总产量颗粒料产量,12839.871
中南区 ZHOU YONG SHUN,0802南昌正大,2020-02-01,1总产量颗粒料产量,5678.67
中南区 ZHOU YONG SHUN,0803九江正大,2020-02-01,1总产量颗粒料产量,7310.282
