Year,Date,VarAll,ValueAll
2021年,2020-01-01,1产量,1006511.8079999995
2020年,2020-01-01,1产量,672067.76403
2019年,2020-01-01,1产量,731612.36756
2018年,2020-01-01,1产量,684303.7703099999
2017年,2020-01-01,1产量,589458.6917
2016年,2020-01-01,1产量,526246.0
2015年,2020-01-01,1产量,508979.096
2014年,2020-01-01,1产量,555239.0460000001
2013年,2020-01-01,1产量,567926.2200000001
2012年,2020-01-01,1产量,478153.235
2011年,2020-01-01,1产量,456143.0203
2010年,2020-01-01,1产量,458837.82855
2009年,2020-01-01,1产量,384525.96419000014
2021年,2020-02-01,1产量,0.0
2020年,2020-02-01,1产量,746416.8168900002
2019年,2020-02-01,1产量,487994.1895899998
2018年,2020-02-01,1产量,576493.4801499998
2017年,2020-02-01,1产量,539474.23803
2016年,2020-02-01,1产量,390806.87234
2015年,2020-02-01,1产量,401047.58737
2014年,2020-02-01,1产量,373718.20275000005
2013年,2020-02-01,1产量,432318.55
2012年,2020-02-01,1产量,513451.53500000003
2011年,2020-02-01,1产量,294749.07986399985
2010年,2020-02-01,1产量,372518.1689
2009年,2020-02-01,1产量,351313.04189999984
2021年,2020-03-01,1产量,0.0
2020年,2020-03-01,1产量,775063.8490399998
2019年,2020-03-01,1产量,678132.27595
2018年,2020-03-01,1产量,724799.5955099997
2017年,2020-03-01,1产量,657883.9405099999
2016年,2020-03-01,1产量,530187.84061
2015年,2020-03-01,1产量,507938.65769000014
2014年,2020-03-01,1产量,489857.1860099999
2013年,2020-03-01,1产量,549898.37
2012年,2020-03-01,1产量,572517.5029999999
2011年,2020-03-01,1产量,447325.7188499999
2010年,2020-03-01,1产量,507032.583485
2009年,2020-03-01,1产量,477831.81178000016
2021年,2020-04-01,1产量,0.0
2020年,2020-04-01,1产量,820038.96873
2019年,2020-04-01,1产量,696530.0671599997
2018年,2020-04-01,1产量,692132.36677
2017年,2020-04-01,1产量,638654.4141400001
2016年,2020-04-01,1产量,543645.7230000001
2015年,2020-04-01,1产量,510746.8
2014年,2020-04-01,1产量,498554.17777
2013年,2020-04-01,1产量,535128.125
2012年,2020-04-01,1产量,562178.0269999999
2011年,2020-04-01,1产量,471659.01102800004
2010年,2020-04-01,1产量,512650.93062999996
2009年,2020-04-01,1产量,493838.50495999993
2021年,2020-05-01,1产量,0.0
2020年,2020-05-01,1产量,771570.43852
2019年,2020-05-01,1产量,717361.2756
2018年,2020-05-01,1产量,701702.7610100002
2017年,2020-05-01,1产量,646996.3465699997
2016年,2020-05-01,1产量,614624.4435999999
2015年,2020-05-01,1产量,508697.7840000002
2014年,2020-05-01,1产量,539959.8986500001
2013年,2020-05-01,1产量,542406.73
2012年,2020-05-01,1产量,586101.946
2011年,2020-05-01,1产量,505885.00429800025
2010年,2020-05-01,1产量,508795.81957999995
2009年,2020-05-01,1产量,467875.74502000003
2021年,2020-06-01,1产量,0.0
2020年,2020-06-01,1产量,781520.8040100003
2019年,2020-06-01,1产量,651021.8208299999
2018年,2020-06-01,1产量,681532.7897300001
2017年,2020-06-01,1产量,646605.5311100003
2016年,2020-06-01,1产量,621028.39639
2015年,2020-06-01,1产量,497834.49486000004
2014年,2020-06-01,1产量,541587.5228500002
2013年,2020-06-01,1产量,558076.995
